,D1,D2,DAT,NET,5HT1A,5HT1B,5HT2A,5HT4,5HT6,5HTT,a4b2,M1,vAChT,NMDA,mGluR5,GABAA/BZ,H3,CB1,MOR
ctx_rh_S_orbital_med-olfact,1.29693133,0.7750408289,1.405355344,-0.1160516033,0.9551205501,0.6408011558,0.49288928,0.6465748613,0.004942048198,0.8661290704,-0.3371921537,0.5741269257,1.066741607,0.6913939085,0.4401344675,0.5208545321,2.494919584,0.785705803,1.408842717
ctx_rh_S_orbital-H_Shaped,0.6879454342,-0.02847382535,0.176759465,0.1129282016,0.6030077483,0.8192488853,1.017034749,0.4221693538,0.3013910716,0.1487612107,-0.07647891384,0.4486147448,0.01588491146,0.9465924845,0.5945849395,0.6642821817,0.2528462808,0.4306317132,0.9908580995
ctx_rh_S_parieto_occipital,0.4172796787,-0.2675272328,0.1543279379,0.2135256315,0.08111720696,0.2203049639,0.5870793568,0.2936332721,0.6380375686,0.2673644262,-0.08885066384,0.2825170262,-0.2261594872,0.7877008485,0.4290636895,0.7275873682,-0.07890407286,-0.4782629174,-0.526500114
ctx_rh_S_pericallosal,-0.09953811965,-0.5056843776,0.2966693115,-0.504678925,-0.407734259,-0.6725300164,0.2595908961,0.1033146596,-0.7585419858,0.3491108205,-0.8231693417,-0.6976956594,-0.1701297322,-0.2333162183,-0.3126790418,0.4947994303,-0.3854445597,-0.9986004552,-0.5597670063
ctx_rh_S_postcentral,0.231134385,-0.2189055143,0.04100256935,1.053842499,0.2713776573,0.5328097404,0.3528465426,0.204554446,-0.06518187167,-0.02019828583,0.06010747678,0.2213703542,-0.03874242245,0.5824423286,0.4225877034,0.3601965064,-0.2165355935,-0.4150167478,0.0713926705
ctx_rh_S_precentral-inf-part,0.4790438253,-0.1950668236,0.2390493294,0.5921776147,0.4423391825,1.07571104,0.854376219,0.3292044146,0.5150060019,-0.02171486279,0.3869738929,0.2856690922,0.002669134806,0.778838199,0.7751767032,0.7803962351,0.07848204522,-0.03150137685,0.5633326691
ctx_rh_S_precentral-sup-part,0.04982806948,-0.339582613,0.04348688961,0.5873425437,0.123391508,0.5011093851,0.2181869213,-0.09470304358,0.01959686717,-0.2167959517,0.2584076376,-0.01379744007,0.007163802125,0.4174647195,0.3556507194,0.3711016948,-0.05335869689,-0.4163671887,0.2758888106
ctx_rh_S_suborbital,1.257805551,0.1320543909,0.3719559176,0.2080806729,1.418347216,0.5831070627,1.013446835,0.6724545569,0.7362051114,0.4365570362,-0.008847820327,0.7296985223,0.1155088832,0.4757268349,0.9463731389,0.8782051473,0.863514522,1.422129936,0.9822695484
ctx_rh_S_subparietal,0.6122190106,-0.2034876506,0.2307471156,0.4238844767,0.3055039608,0.3685376179,0.6520564779,0.3466750075,0.8625828115,0.1453507034,0.128140333,0.4637898731,-0.0204409433,0.4143479524,0.9037461542,0.4567892239,0.07474349678,0.09469429593,0.252004156
ctx_rh_S_temporal_inf,0.7211277885,0.2831672326,0.2751995286,0.3007175583,1.336946587,0.4387640363,0.6511770837,0.4792138435,0.6068798431,-0.1736231476,-0.1508623997,0.3396930753,-0.08074159638,0.7853876329,0.5080293138,0.7510755253,-0.5536250707,0.196696869,0.4613313784
ctx_rh_S_temporal_sup,0.8298615125,0.2085013005,0.269781704,0.4906746083,1.028354054,0.6212402952,0.8925692538,0.6624431093,0.5453746849,0.09617341213,0.1018533242,0.5342713483,-0.01673826005,0.8774527272,0.8828085496,0.5848033206,-0.2237966368,0.1521662532,0.5911592649
ctx_rh_S_temporal_transverse,0.574330165,0.0853036383,0.2919243755,1.453372324,0.7413032611,1.145964932,1.436685875,0.8029332271,0.835128707,0.6876206068,0.1871755936,1.096703544,0.4604658833,1.438795565,1.170797087,1.108805046,0.7277552102,0.2834596458,-0.4134995848
