,D1,D2,DAT,NET,5HT1A,5HT1B,5HT2A,5HT4,5HT6,5HTT,a4b2,M1,vAChT,NMDA,mGluR5,GABAA/BZ,H3,CB1,MOR
ctx_lh_S_precentral-inf-part,-0.4881104022,0.7577358499,0.1412732153,0.519551894,-0.7218120906,0.1038409405,0.7396405183,0.2512822303,-0.0006689883047,-0.06417590206,0.3801062548,1.228803576,-0.04679605899,0.6323374997,-0.8843676586,0.7640113378,-0.04950827485,-0.3676716811,0.3248777354
ctx_lh_S_precentral-sup-part,-0.4577383311,2.174872754,-0.1030424583,0.4504072583,-0.7252738093,-0.6657424292,0.2701428819,-0.07062540563,-0.3953168412,-0.2307295957,0.2837175542,-0.4968944312,-0.01766885915,0.3955837931,-0.4079817862,0.3429166026,-0.1526307979,0.9079371192,0.1689536545
ctx_lh_S_suborbital,0.4764166852,0.01276060014,0.5929930074,0.1073277015,-0.3687610756,-0.7444721479,0.3923747659,0.1826524746,-0.8198736846,-0.008449074344,-0.1182723492,0.8181336857,0.01215324548,0.2706068771,-0.7213588702,0.9574610258,1.034159502,0.168467047,0.8339403322
ctx_lh_S_subparietal,-0.486482702,0.0741240766,-0.3253325169,0.2744584575,-0.7444425962,-0.2824747261,0.5524888737,0.2586590131,-0.04423734103,0.04227505819,0.03272491146,-0.634750333,-0.06922652314,0.3472559843,-0.8207061614,0.5891658016,0.008871676656,0.7711944429,0.0797999633
ctx_lh_S_temporal_inf,0.7943445566,0.09384736306,-0.05480101429,0.1346963659,0.076048895,-0.04699891302,0.3971163228,0.2528373015,-0.4384724025,-0.2156125643,-0.2407515241,-0.2071138374,-0.1497876309,0.3677317524,-0.2691353436,0.6000776049,-0.5725555376,-0.4388563715,0.01799650868
ctx_lh_S_temporal_sup,0.1721196849,-0.3290798443,-0.08433402476,0.4544476223,0.2128500791,0.5164598832,0.4836147535,0.2974208912,-0.1655582317,-0.08635648551,0.1073377189,-0.2766617452,-0.04329094909,0.7674636833,-0.1970466171,0.3751731107,-0.129440301,-0.2195479313,0.4590560033
ctx_lh_S_temporal_transverse,1.283290401,-0.5621418335,-0.05212947774,1.253117694,-0.4001542063,-0.5451305486,0.6273468583,0.2773038132,0.447222671,0.1415431294,0.1219332918,-0.4877431839,0.2560225032,0.734512833,-0.7389970618,1.173066839,0.3989415845,-0.5564802421,-0.6592084092
ctx_rh_G_and_S_frontomargin,1.776454077,-0.9093011323,-0.2874767395,0.274070263,1.329040324,0.2626644363,0.7905996249,0.4292714388,-0.299154485,0.02595001578,0.07009217131,1.611122727,-0.08975057491,0.1680074063,-0.4677760035,0.9186809191,0.1681361092,0.2228282844,1.005408284
ctx_rh_G_and_S_occipital_inf,1.467301814,-0.4994066274,-0.3091682815,0.3976328344,-0.1950354612,0.01371804635,1.002700736,0.5248484935,0.04838549452,0.1167875879,-0.2821236078,0.4557048019,-0.3107971865,0.6507704483,-0.3838288366,0.8826985863,-0.1403030337,-0.517406038,-0.4606950452
ctx_rh_G_and_S_paracentral,0.7641254079,-0.6973111014,-0.3281850105,1.643720408,0.4941405042,-0.5039949946,0.0874100005,-0.1172904089,-0.5435762347,0.09571056924,-0.4127633762,0.2237058072,0.01589934376,0.3121340194,-0.2744764268,0.04524832667,0.2304927454,1.400571082,-0.4378731428
ctx_rh_G_and_S_subcentral,-0.4356595593,0.07569136858,-0.02809793371,1.032601964,-0.5905890764,0.4205372849,0.7915848845,0.4992276718,-0.184745195,0.2581525166,-0.09657218598,-0.6854464719,0.09676676411,0.5271685101,-0.04628963661,0.3881238225,0.3852818121,-1.261843391,0.4946493642
